Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Subway,Sandwiches,"Black Forest Ham, 6 in","Black Forest Ham on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Fresh Fit Choice, Simple $6 Menu, Low Fat Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,217,g,,290,46,18,703
Subway,Sandwiches,"Black Forest Ham, Egg & Cheese on Flatbread, 3 in","Black Forest Ham, Egg & Cheese on Flatbread, Breakfast, 3 in",,105,g,,200,22,12,23960
Subway,Sandwiches,"Black Forest Ham, Egg & Cheese, 6 in","Black Forest Ham, Egg & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ American Cheese, Honey Mustard & Regular Egg w/out Veggie, 6 in Omelet Sandwiches, Breakfast, 6 in, also Called Egg & Cheese w/ Ham, also called Egg & Cheese w/ Ham Omelet Sandwich on 9 G",,202,g,,390,45,24,23856
Subway,Sandwiches,"Black Forest Ham, Egg & Cheese, Breakfast, Footlong","Black Forest Ham, Egg & Cheese, Breakfast, Footlong",,404,g,,780,90,48,102302
Subway,Sandwiches,"Black Forest Ham, Egg White & Cheese on Flatbread, 3""","Black Forest Ham, Egg White & Cheese on Flatbread, 3""",,105,g,,180,22,12,64272
Subway,Sandwiches,"Black Forest Ham, Footlong","Black Forest Ham, All Sandwiches, Footlong",,434,g,,580,92,36,102299
Subway,Sandwiches,"Black Forest Ham, Kids","Black Forest Ham on Mini Wheat w/ Lettuce, Tomatoes, Green Peppers, Red Onions & Cucumbers w/out Cheese or Sauce, Kids Meal, Fresh Fit For Kids; Choice of Adding Apple Slices & Milk",,135,g,,180,30,10,23931
Subway,Sandwiches,"BLT, 6 in","BLT on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Onions & Tomatoes, 6 in Sandwiches, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,153,g,,320,43,15,23857
Subway,Sandwiches,"Buffalo Chicken, 6""","Buffalo Chicken on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Onions & Tomatoes, 6 in Sandwiches, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,269,g,,420,46,25,34506
Subway,Sandwiches,"Chicken & Bacon Ranch Melt, 6 in","Chicken & Bacon Ranch Melt on 9 Grain Wheat Bread w/ Monterey Cheese, Cucumbers, Green Peppers, Lettuce, Red Onions, Tomatoes & Ranch Sauce, All Sandwiches, Featured Products, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,289,g,,570,47,35,436
Subway,Sandwiches,"Chicken & Bacon Ranch Melt, Footlong","Chicken & Bacon Ranch Melt w/ Monterey Cheddar Cheese, Chicken, Bacon, Lettuce, Tomatoes, Onion & Green Peppers, All Sandwiches, Footlong",,578,g,,1140,94,70,23908
