Restaurant ,Food Category ,Item_Name ,Item Description 2015 ,Servings Per Item 2015 ,Serving Size 2015 ,Serving Size Unit 2015 ,Servings Size Text 2015 ,Calories 2015 ,Protein (g) 2015 ,Menu_Item_ID
Burger King,Entrees,Pancake & Sausage Platter,"Pancake & Sausage Platter, Breakfast",,231,g,,660,13,11565
Burger King,Entrees,Quaker Oatmeal Maple Flavor,"Quaker Oatmeal Maple Flavor, Breakfast",,172,g,,170,4,60366
Burger King,Fried Potatoes,"French Fries, Salted, Large","French Fries, Salted, Large, BK Garden Fresh Salads & Sides",,190,g,,500,5,1553
Burger King,Fried Potatoes,"French Fries, Salted, Medium","French Fries, Salted, Medium, BK Garden Fresh Salads & Sides",,153,g,,410,4,1551
Burger King,Fried Potatoes,"French Fries, Salted, Small","French Fries, Salted, Small, BK Garden Fresh Salads & Sides",,128,g,,340,4,1549
Burger King,Fried Potatoes,"French Fries, Value, Salted","French Fries, Value, Salted, BK Garden Fresh Salads & Sides",,89,g,,240,2,1547
Burger King,Fried Potatoes,"Hash Browns, Large","Hash Browns, Breakfast, Large",,224,g,,670,5,1648
Burger King,Fried Potatoes,"Hash Browns, Medium","Hash Browns, Breakfast, Medium",,168,g,,500,4,1646
Burger King,Fried Potatoes,"Hash Browns, Small","Hash Browns, Breakfast, Small",,84,g,,250,2,1645
Burger King,Fried Potatoes,"Satisfries French Fries, Large, Salted","Satisfries French Fries, Large, Salted, BK Garden Fresh Salads & Sides",,191,g,,410,5,60378
Burger King,Fried Potatoes,"Satisfries French Fries, Medium, Salted","Satisfries French Fries, Medium, Salted, BK Garden Fresh Salads & Sides",,157,g,,340,4,60375
Burger King,Fried Potatoes,"Satisfries French Fries, Small, Salted","Satisfries French Fries, Small, Salted, BK Garden Fresh Salads & Sides",,127,g,,270,4,60377
Burger King,Fried Potatoes,"Satisfries French Fries, Value, Salted","Satisfries French Fries, Value, Salted, Side Items, Kids Meals, BK Garden Fresh Salads & Sides, Kids & Adults",,87,g,,190,2,60376
Burger King,Salads,Chicken Apple & Cranberry Garden Fresh Salad w/ Tendercrisp,"Chicken Apple & Cranberry Garden Fresh Salad w/ Tendercrisp, Sweet Dried Cranberries, Blue Cheese Crumbles, Apple Slices, Lettuce & Ken's Apple Cider Vinaigrette, BK Garden Fresh Salads & Sides",,394,g,,680,24,29255
Burger King,Salads,Chicken Apple & Cranberry Garden Fresh Salad w/ Tendergrill,"Chicken Apple & Cranberry Garden Fresh Salad w/ Tendergrill, Sweet Dried Cranberries, Blue Cheese Crumbles, Apple Slices, Lettuce & Ken's Apple Cider Vinaigrette, BK Garden Fresh Salads & Sides",,363,g,,480,28,29254
Burger King,Salads,Chicken BLT Garden Fresh Salad w/ Tendercrisp & Dressing,"Chicken BLT Garden Fresh Salad w/ Tendercrisp & Dressing, BK Garden Fresh Salads & Sides",,390,g,,640,28,29252
Burger King,Salads,Chicken BLT Garden Fresh Salad w/ Tendergrill & Dressing,"Chicken BLT Garden Fresh Salad w/ Tendergrill & Dressing, BK Garden Fresh Salads & Sides",,357,g,,440,33,29253
Burger King,Salads,Chicken Caesar Garden Fresh Salad w/ Tendercrisp,"Chicken Caesar Garden Fresh Salad w/ Tendercrisp, Croutons, Parmesan Cheese, Tomatoes, Romaine Lettuce & Ken's Citrus Caesar Vinaigrette, BK Garden Fresh Salads & Sides",,380,g,,650,30,29240
Burger King,Salads,Chicken Caesar Garden Fresh Salad w/ Tendergrill,"Chicken Caesar Garden Fresh Salad w/ Tendergrill, Croutons, Parmesan Cheese, Tomatoes, Romaine Lettuce & Ken's Citrus Caesar Vinaigrette, BK Garden Fresh Salads & Sides",,348,g,,450,35,29251
Burger King,Salads,Garden Side Salad,"Garden Side Salad w/ Lettuce, Three Cheese Blend & Ranch Dressing, Sides",,"	-", ,,"	-","	5.51",91371
Burger King,Salads,Side Caesar Salad w/ Dressing,"Side Caesar Salad w/ Dressing, BK Garden Fresh Salads & Sides",,190,g,,290,8,29241
Burger King,Salads,Side Garden Salad w/ Avocado Ranch Dressing,"Side Garden Salad w/ Avocado Ranch Dressing, BK Garden Fresh Salads & Sides",,169,g,,240,6,29256
