Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Taco Bell,Sandwiches,Chalupa Supreme w/ Beef,"Chalupa Supreme w/ Beef, Chalupa Shell, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Sandwiches",,153,g,1 Chalupa,370,31,13,2754
Taco Bell,Sandwiches,Chalupa Supreme w/ Chicken,"Chalupa Supreme w/ Marinated & Grilled All White Meat Chicken, Chalupa Shell, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Sandwiches, Fresco Option For a 25% Reduction In Fat",,153,g,1 Chalupa,350,31,17,2755
Taco Bell,Sandwiches,Chalupa Supreme w/ Steak,"Chalupa Supreme w/ Marinated Premium Thick Cut Steak, Chalupa Shell, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Sandwiches, Fresco Option For a 25% Reduction In Fat",,153,g,1 Chalupa,350,30,17,2756
Taco Bell,Sandwiches,Cheese Rollup,"Cheese Rollup w/ 3 Cheese Blend, Specialties, Cravings",,57,g,1 Item,180,15,9,4447
Taco Bell,Sandwiches,Cheesy Bean & Rice Burrito,"Cheesy Bean & Rice Burrito, w/ Flour Tortilla, Hearty Beans, Premium Latin Rice, Nacho Sauce & Creamy Jalapeno Sauce, Cravings, Burritos, Fresco Option For a 25% Reduction In Fat",,181,g,1 Burrito,420,55,11,24345
Taco Bell,Sandwiches,Cheesy Burrito w/ Bacon,"Cheesy Burrito w/ Bacon, Warm Flour Tortilla, Double Portion of Fluffy Scrambled Eggs & Lots of Warm Melted Cheese, Breakfast",,167,g,1 Burrito,490,36,23,102425
Taco Bell,Sandwiches,"Cheesy Burrito w/ Bacon, Fresco Style","Cheesy Burrito w/ Bacon, Warm Flour Tortilla, Double Portion of Fluffy Scrambled Eggs & Lots of Warm Melted Cheese, Breakfast, Fresco Style",,160,g,1 Burrito,380,36,16,102426
Taco Bell,Sandwiches,Cheesy Burrito w/ Fiesta Potato,"Cheesy Burrito w/ Fiesta Potato, Breakfast",,217,g,1 Burrito,530,50,20,102435
Taco Bell,Sandwiches,"Cheesy Burrito w/ Fiesta Potato, Fresco Style","Cheesy Burrito w/ Fiesta Potato, Fresco Style, Breakfast",,210,g,1 Burrito,430,50,14,102436
Taco Bell,Sandwiches,Cheesy Burrito w/ Sausage,"Cheesy Burrito w/ Sausage, Warm Flour Tortilla, Double Portion of Fluffy Scrambled Eggs & Lots of Warm Melted Cheese, Breakfast",,167,g,1 Burrito,470,36,20,102428
Taco Bell,Sandwiches,"Cheesy Burrito w/ Sausage, Fresco Style","Cheesy Burrito w/ Sausage, Warm Flour Tortilla, Double Portion of Fluffy Scrambled Eggs & Lots of Warm Melted Cheese, Breakfast, Fresco Style",,160,g,1 Burrito,370,36,14,102429
Taco Bell,Sandwiches,Cheesy Burrito w/ Steak & Egg,"Cheesy Burrito w/ Marinated Premium Thick Cut Steak, Fluffy Scrambled Egg, Warm Flour Tortilla, Warm Melted Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Burritos",,173,g,1 Burrito,450,37,24,34602
Taco Bell,Sandwiches,"Cheesy Burrito w/ Steak & Egg, Fresco Style","Cheesy Burrito w/ Marinated Premium Thick Cut Steak, Fluffy Scrambled Egg, Warm Flour Tortilla, Warm Melted Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Fresco Style",,160,g,1 Burrito,320,36,18,102427
Taco Bell,Sandwiches,Cheesy Gordita Crunch,"Cheesy Gordita Crunch w/ Flatbread, Melted 3 Cheese Blend, Wrapped Around a Crunchy Taco & Zesty Pepper Jack Sauce, Gorditas",,174,g,1 Gordita,490,40,20,24346
Taco Bell,Sandwiches,Cheesy Potato Burrito,"Cheesy Potato Burrito w/ Warm Soft Flour Tortilla, Double Portion of Seasoned Beef, Potato Bites, Nacho Cheese Sauce & Reduced Fat Sour Cream, Burritos",,237,g,1 Burrito,510,56,18,24325
Taco Bell,Sandwiches,Chicken Burrito,"Chicken Burrito w/ Warm Soft Flour Tortilla, Shredded Chicken, Latin Rice, Creamy Avocado Ranch Sauce & Real Cheddar Cheese, Burritos, Fresco Option for a 25% Reduction in Fat",,169,g,1 Burrito,400,45,16,24379
Taco Bell,Sandwiches,Chicken Soft Taco,"Chicken Soft Taco w/ Shredded Chicken, Crisp Lettuce, Real Cheddar Cheese & Flour Tortilla, Tacos, Fresco Option For a 25% Reduction In Fat",,92,g,1 Taco,160,16,12,24350
Taco Bell,Sandwiches,Chili Cheese Burrito,"Chili Cheese Burrito, Burritos, Specialties, Fresco Option For a 25% Reduction in Fat",,153,g,,370,39,16,24351
Taco Bell,Sandwiches,Chili Cheese Fries Loaded Griller,"Chili Cheese Fries Loaded Griller, Specialties",,159,g,,370,51,9,102441
Taco Bell,Sandwiches,Chipotle Ranch Chicken Loaded Griller,"Chipotle Ranch Chicken Loaded Griller, Chicken w/ Warm Flour Tortilla, Chipotle Ranch Sauce & Reduced Fat Sour Cream, Specialties",,132,g,1 Griller,280,37,15,102414
Taco Bell,Sandwiches,Combo Burrito,"Combo Burrito w/ Warm Soft Flour Tortilla, Double Portion of Seasoned Beef, Hearty Beans, Onions, Real Cheddar Cheese & Tangy Red Sauce, Burritos, Fresco Option For a 25% Reduction In Fat",,232,g,1 Burrito,450,51,21,24326
Taco Bell,Sandwiches,"Cool Ranch Doritos Locos Taco Supreme, Beef","Cool Ranch Doritos Locos Taco Supreme, Beef w/ Crisp Lettuce, Diced Juicy Red Ripe Tomatoes, Real Cheddar Cheese, Reduced Fat Sour Cream & Shell Made From Cool Ranch Doritos Chips, Tacos, Fresco Option For a 25% Reduction In Fat",,113,g,1 Taco,200,15,8,64350
Taco Bell,Sandwiches,"Cool Ranch Doritos Locos Taco, Beef","Cool Ranch Doritos Locos Taco, Beef w/ Crisp Lettuce, Diced Juicy Red Ripe Tomatoes, Real Cheddar Cheese & Shell Made From Cool Ranch Doritos Chips, Tacos, Fresco Option For a 25% Reduction In Fat",,78,g,1 Taco,160,13,8,64360
Taco Bell,Sandwiches,Country AM Crunchwrap w/ Sausage,"Country AM Crunchwrap w/ Sausage, Warm Flour Tortilla, Golden Crisp Potato Hashbrown, Fluffy Scrambled Eggs, Real Cheddar Cheese & Warm Country Gravy, Breakfast, Fresco Option For a 25% Reduction In Fat",,235,g,1 Crunchwrap,660,54,21,102423
Taco Bell,Sandwiches,Country Grilled Breakfast Burrito w/ Sausage,"Country Grilled Breakfast Burrito w/ Sausage, Warm Flour Tortilla, Fluffy Scrambled Eggs, Seasoned Breakfast Potatoes & Warm Country Gravy, Breakfast",,160,g,1 Burrito,390,45,12,102416
Taco Bell,Sandwiches,Crunchwrap Supreme,"Crunchwrap Supreme w/ Seasoned Beef, Crunchy Tostada Shell, Nacho Cheese Sauce, Reduced Fat Sour Cream, Lettuce & Tomatoes, Specialties, Fresco Option For a 25% Reduction In Fat",,265,g,1 Item,540,71,16,2781
Taco Bell,Sandwiches,"Crunchy Taco Supreme, Beef","Crunchy Taco Supreme, Beef w/ Corn Taco Shell, Reduced Fat Sour Cream, Crisp Shredded Lettuce, Real Cheddar Cheese & Diced Ripe Tomatoes, Tacos, Option of Fresco Style for a 25% Reduction in Fat",,113,g,1 Taco,200,15,8,2730
Taco Bell,Sandwiches,"Crunchy Taco, Beef","Crunchy Taco, Beef w/ Corn Taco Shell, Crisp Shredded Lettuce & Real Cheddar Cheese, Tacos",,78,g,1 Taco,170,12,8,2728
Taco Bell,Sandwiches,"Doritos Cheesy Gordita Crunch, Cool Ranch","Doritos Cheesy Gordita Crunch, Cool Ranch w/ Flatbread, Melted 3 Cheese Blend, Wrapped Around a Doritos Fiery Taco & Zesty Pepper Jack Sauce, Gorditas, Specialties",,174,g,,490,40,20,102440
Taco Bell,Sandwiches,"Doritos Cheesy Gordita Crunch, Fiery","Doritos Cheesy Gordita Crunch, Fiery w/ Flatbread, Melted 3 Cheese Blend, Wrapped Around a Doritos Fiery Taco & Zesty Pepper Jack Sauce, Gorditas, Specialties",,174,g,1 Gordita,490,40,20,102413
Taco Bell,Sandwiches,"Doritos Cheesy Gordita Crunch, Nacho Cheese","Doritos Cheesy Gordita Crunch, Nacho Cheese w/ Flatbread, Melted 3 Cheese Blend, Wrapped Around a Doritos Taco & Zesty Pepper Jack Sauce, Gorditas, Specialties",,174,g,1 Gordita,490,40,20,102412
Taco Bell,Sandwiches,"Double Decker Taco Supreme, Beef","Double Decker Taco Supreme, Beef w/ Crunchy Corn Taco Shell, Cheddar Cheese, Crisp Lettuce, Diced Ripe Tomatoes & Reduced Fat Sour Cream, Tacos, Fresco Option For a 25% Reduction In Fat",,184,g,1 Taco,350,38,14,4449
Taco Bell,Sandwiches,"Double Decker Taco, Beef","Double Decker Taco, Beef w/ Hearty Beans, Crunchy Corn Taco Shell, Crisp Shredded Lettuce & Real Cheddar Cheese, Tacos, Fresco Option For a 25% Reduction In Fat; Choice of: All White Meat Chicken or Marinated Premium Thick Cut Steak Instead of Seasoned Beef",,149,g,1 Taco,320,36,14,4448
Taco Bell,Sandwiches,"Fiery Doritos Locos Taco Supreme, Beef","Fiery Doritos Locos Taco Supreme, Beef w/ Crisp Lettuce, Diced Juicy Red Ripe Tomatoes, Real Cheddar Cheese, Reduced Fat Sour Cream, Shell Inspired From Regional Spicy Doritos Chip, Spices & Lime, Tacos, Fresco Option For a 25% Reduction In Fat",,113,g,1 Taco,200,15,9,64351
Taco Bell,Sandwiches,"Fiery Doritos Locos Taco, Beef","Fiery Doritos Locos Taco, Beef w/ Crisp Lettuce, Real Cheddar Cheese, Shell Inspired From Regional Spicy Doritos Chip, Seasoned Spices & Lime, Tacos, Fresco Option For a 25% Reduction In Fat",,78,g,1 Taco,170,12,8,64357
Taco Bell,Sandwiches,Fresco Burrito Supreme w/ Chicken,"Fresco Burrito Supreme w/ Chicken, Warm Soft Flour Tortilla, Hearty Beans, Tangy Red Sauce, Crisp Shredded Lettuce, Diced Ripe Tomatoes, Diced Onions & Pico De Gallo, Burritos",,232,g,1 Burrito,340,49,19,2710
Taco Bell,Sandwiches,Fresco Burrito Supreme w/ Steak,"Fresco Burrito Supreme w/ Steak, Warm Soft Flour Tortilla, Hearty Beans, Tangy Red Sauce, Crisp Shredded Lettuce, Diced Onions, Diced Ripe Tomatoes & Pico De Gallo, Burritos",,232,g,1 Burrito,350,48,19,2711
Taco Bell,Sandwiches,Fresco Chicken Soft Taco,"Fresco Chicken Soft Taco w/ Shredded Chicken, Warm Soft Flour Tortilla, Crisp Shredded Lettuce & Pico De Gallo, Tacos",,106,g,1 Taco,140,16,10,24365
Taco Bell,Sandwiches,Fresco Crunchy Taco w/ Beef,"Fresco Crunchy Taco w/ Beef, Corn Taco Shell, Crisp Shredded Lettuce & Pico De Gallo, Tacos",,92,g,1 Taco,150,13,6,2729
